"","country","xcoord","ycoord","20200121","20200122","20200123","20200124","20200125","20200126","20200127","20200128","20200129","20200130","20200131","20200201","20200202","20200203","20200204","20200205","20200206","20200207","20200208","20200209","20200210","20200211","20200212","20200213","20200214","20200215","20200216","20200217","20200218","20200219","20200220","20200221","20200222","20200223","20200224","20200225","20200226","20200227","20200228","20200229","20200301","20200302","20200303","20200304","20200305","20200306","20200307","20200308","20200309","20200310","20200311","20200312","20200313","20200314","20200315","20200316","20200317","20200318","20200319","20200320","20200321","20200322","20200323","20200324","20200325","20200326","20200327","20200328","20200329","20200330","20200331","20200401","20200402","20200403","20200404","20200405","20200406","20200407","20200408","20200409","20200410","20200411","20200412","20200413","20200414","20200415","20200416","20200417","20200418","20200419","20200420","20200421","20200422","20200423","20200424","20200425","20200426","20200427","20200428","20200429","20200430","20200501","20200502","20200503","20200504","20200505","20200506","20200507","20200508","20200509"
"20","Bahrain",50.5474,26.0546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26,33,33,38,40,47,49,49,"49",49,"49","56","79","109","110",189,195,210,"211",221,229,"237","256",269,285,306,337,377,392,419,458,473,476,515,515,567,569,643,673,688,700,756,811,823,887,998,1040,1136,1362,1528,1677,1700,1744,1773,1881,1907,1973,2027,2217,2518,2589,2647,2723,2811,2921,3040,3170,3284,3356,3533,3720,3934,"4199",4444
"21","Bangladesh",90.2518,23.8479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3",3,3,3,"3",5,8,"8","10",17,17,24,27,33,39,39,48,48,48,49,49,54,54,56,61,70,88,123,164,218,330,424,621,621,803,1012,1231,1572,1838,2144,2456,2948,3382,3772,4186,4689,4998,5416,5913,6462,7103,7667,8238,8790,9455,10143,10929,11719,"12 425",13134
"22","Barbados",-59.5555,13.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2,5,5,5,17,18,18,18,24,24,26,33,33,33,45,45,51,51,56,60,63,63,66,67,68,71,72,73,75,75,75,75,75,75,75,76,76,77,79,79,80,80,80,81,81,81,82,82,82,"82",82
"23","Bassas Da India",40.3499,-22.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Belarus",28.0284,53.5308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"6",6,"6","6","6","6","9",12,12,21,"21",36,36,"36","46",46,57,76,76,81,81,86,86,94,94,152,152,152,192,254,254,440,562,700,861,1066,1066,1981,2226,2578,2919,3281,3728,4204,4779,4779,4779,6264,6723,7281,8022,8773,9590,10463,12208,12208,13181,14027,14917,15828,17489,17489,19255,19255,"20 168",21101
"25","Belgium",4.6593,50.6429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1","1","1","1","1","1","1","1","1",1,"1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,8,8,"23",50,"109","169","200","239","267",314,314,599,"689",1085,1085,"1486","1486",1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,48519,49032,49517,49906,50267,50509,50781,"51 420",52011
"26","Belize",-88.7141,17.1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,3,3,3,3,3,4,5,7,7,8,9,10,10,13,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"18",18
"27","Benin",2.3384,9.6486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1",2,2,2,2,5,5,5,6,6,6,6,6,9,13,13,13,13,22,23,26,26,30,30,35,35,35,35,35,37,37,37,37,54,54,54,58,58,58,64,64,64,69,84,90,90,90,96,102,102,"140",242
"28","Bermuda",-64.7663,32.2994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,6,6,7,7,15,17,22,22,27,32,32,35,35,37,37,39,39,39,48,48,50,57,57,57,81,83,83,86,86,86,98,99,99,99,109,109,110,111,111,114,114,115,115,115,115,"118",118
"29","Bhutan",90.4666,27.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","1","1","1","1",1,1,1,"1",1,1,"1","1",2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"7",7
